college_major,college_major_category,riasec,question
Psychology,Behavioral Health,I,Conduct research experiments on human behavior and thought.
Rehabilitation Services,Behavioral Health,S,Assist people with disabilities in achieving independence.
Social Work,Behavioral Health,S,Advocate for children and families within the social welfare system.
Speech Pathology,Behavioral Health,S,Treat patients with swallowing or communication difficulties.
Accounting,Business,C,Audit financial records to ensure accuracy and tax compliance.
Accounting and Finance,Business,C,Manage corporate ledgers while analyzing investment risks.
Actuarial Science,Business,I,Use complex math to predict the probability of future risks.
Administration,Business,C,Oversee the daily logistical operations of an office or company.
Business Admin.,Business,E,Lead a team to meet organizational goals and improve efficiency.
Business Management,Business,E,Direct the resources and personnel of a large corporation.
E-commerce,Business,E,Develop and manage a platform for online retail sales.
Economics,Business,I,Analyze data to understand how goods and services are distributed.
Entrepreneurship,Business,E,Pitch and launch a new startup business from the ground up.
Finance,Business,E,Manage large-scale investments and corporate capital.
Human Resources,Business,S,Handle employee relations and workplace culture initiatives.
HR Management,Business,E,Strategize the hiring and training programs for a workforce.
Intl. Business,Business,E,Negotiate trade deals and partnerships across different countries.
Logistics,Business,C,Coordinate the global transport and storage of supply chain goods.
Management,Business,E,Delegate tasks and motivate a team to hit performance targets.
MIS,Business,C,Design systems to organize and store a company's data.
Marketing,Business,E,Create campaigns to persuade consumers to buy a product.
Operations Management,Business,C,Streamline the production process to maximize output and quality.
Advertising,Communications,E,Craft persuasive messages for brands across social media.
Journalism,Communications,A,Investigate and report on current events for a news outlet.
Mass Media,Communications,A,"Produce content for radio, television, or digital platforms."
Public Relations,Communications,E,Manage the public image and reputation of a high-profile client.
Comp. Info Systems,Comp & Math,C,Maintain the hardware and software networks for an organization.
Comp. Networking,Comp & Math,R,Set up and troubleshoot physical servers and data connections.
Computer Science,Comp & Math,I,Write complex code to build new software applications.
Computer Systems,Comp & Math,I,Design the architecture of integrated hardware and software.
Cyber Security,Comp & Math,C,Defend digital networks against hacking and security threats.
Information Science,Comp & Math,I,Organize and analyze vast amounts of digital information.
Information Systems,Comp & Math,C,Bridge the gap between business needs and IT solutions.
Information Tech.,Comp & Math,R,Support and configure computer technology for end-users.
Mathematics,Comp & Math,I,Solve abstract problems using logic and numeric theory.
Programming,Comp & Math,I,Debug and optimize code to ensure software runs efficiently.
Software Engineering,Comp & Math,I,Apply engineering principles to the full software lifecycle.
Statistics,Comp & Math,I,Use mathematical models to interpret data and find trends.
Telecommunications,Comp & Math,R,Manage the systems that transmit data via satellite or cable.
Adult Education,Education,S,Design training programs for professionals to learn new skills.
Art Education,Education,S,Teach students how to express themselves through art.
Early Childhood Ed.,Education,S,Teach foundational reading and social skills to young children.
Educational Admin.,Education,E,Manage the staff and budget of an entire school district.
Elementary Education,Education,S,Develop lesson plans for a classroom of primary schoolers.
English Education,Education,S,Instruct high school students in literature and composition.
Health Education,Education,S,Teach community members about wellness and disease prevention.
History Education,Education,S,Create engaging presentations about historical events for students.
Language Education,Education,S,Help non-native speakers master a new language.
Library Science,Education,C,Categorize and manage a collection of information resources.
Math Education,Education,S,Explain algebraic and geometric concepts to teenagers.
Music Education,Education,S,Direct a school band or choir in rehearsals and concerts.
Physical Education,Education,S,Coach students in sports and physical fitness activities.
Psychology Education,Education,S,Teach the fundamentals of human behavior to students.
Science Education,Education,S,Demonstrate laboratory experiments to a class of students.
Secondary Education,Education,S,Specialize in teaching a specific subject to middle/high schoolers.
Social Science Ed.,Education,S,"Teach students about sociology, geography, and civic duty."
Special Education,Education,S,Adapt curriculum for students with diverse learning needs.
Aeronautical Eng.,Engineering,I,Design aircraft that operate within the Earth's atmosphere.
Aerospace Eng.,Engineering,I,Develop technology for spacecraft and satellite exploration.
Agricultural Eng.,Engineering,R,Design machinery to improve farming and food production.
Architectural Eng.,Engineering,R,Design the structural and mechanical systems of a building.
Architecture,Engineering,A,Create blueprints for buildings that are both safe and beautiful.
Aviation Studies,Engineering,R,Master the technical skills required to pilot an aircraft.
Biological Eng.,Engineering,I,Use engineering to solve problems in biology and agriculture.
Biomedical Eng.,Engineering,I,Design artificial organs or medical devices like pacemakers.
Biotechnology,Engineering,I,Manipulate living organisms to create new drugs or fuels.
Chemical Eng.,Engineering,I,Design the processes used to mass-produce chemicals and fuel.
Civil Engineering,Engineering,R,"Plan the construction of roads, bridges, and public dams."
Computer Eng.,Engineering,I,Design and build the physical components of computers.
Construction Studies,Engineering,R,Supervise the on-site building process of a skyscraper.
Electrical Eng.,Engineering,R,Develop and test electrical systems and power generators.
Engineering Mgmt.,Engineering,E,Lead a team of engineers to complete a technical project.
Engineering Tech.,Engineering,R,Focus on the hands-on implementation of engineering designs.
Environmental Eng.,Engineering,I,Create solutions to reduce pollution and protect the planet.
Geological Eng.,Engineering,I,Study the Earth’s surface to plan safe mining and construction.
Geophysical Eng.,Engineering,I,"Use physics to explore the Earth for oil, gas, or minerals."
Industrial Eng.,Engineering,C,Optimize factory layouts to make production more efficient.
Industrial Mgmt.,Engineering,E,Oversee the business operations of a manufacturing plant.
Manufacturing Eng.,Engineering,R,Design the robotic systems used in automated factories.
Marine Engineering,Engineering,R,Design and maintain the mechanical systems on ships.
Materials Engineering,Engineering,I,Test the properties of metals and plastics to create new products.
Materials Science,Engineering,I,Research the molecular structure of new synthetic materials.
Mechanical Eng.,Engineering,R,"Build and test moving machines, from engines to robots."
Metallurgical Eng.,Engineering,R,Extract and process metals from ores to create alloys.
Mining Engineering,Engineering,R,Plan the safe and efficient extraction of underground minerals.
Nuclear Engineering,Engineering,I,Research the safe use of nuclear energy and radiation.
Petroleum Eng.,Engineering,R,Design methods to extract oil and gas from deep underground.
Chinese,Languages,S,Translate and interpret complex texts from Chinese to English.
English Language,Languages,A,Analyze the structure and history of the English language.
French,Languages,S,Communicate fluently with native speakers in a French setting.
German,Languages,S,Study the literature and linguistics of the German-speaking world.
Greek,Languages,I,Translate ancient Greek texts to understand classical history.
Italian,Languages,S,Immerse yourself in the language and culture of Italy.
Japanese,Languages,S,Master the writing systems and spoken nuances of Japanese.
Korean,Languages,S,Engage with Korean media and literature in its original form.
Latin,Languages,I,Decode the grammar and syntax of classical Latin literature.
Linguistics,Languages,I,Analyze how languages are structured and evolve over time.
Portuguese,Languages,S,Develop professional fluency in the Portuguese language.
Russian,Languages,S,Translate and analyze the works of Russian authors.
Spanish,Languages,S,Facilitate communication in Spanish-speaking communities.
Translation,Languages,C,Convert written text from one language to another accurately.
Community Health,Healthcare,S,Develop programs to improve the wellness of a local area.
Dental Hygiene,Healthcare,R,Perform professional teeth cleanings and oral exams.
Dental Technology,Healthcare,R,Build dental prosthetics like crowns and bridges in a lab.
Dentistry,Healthcare,R,Diagnose and treat diseases of the teeth and gums.
Health Admin.,Healthcare,E,Manage the business and staffing operations of a clinic.
Health Services,Healthcare,S,Assist patients in navigating the complex medical system.
Medic,Healthcare,S,Provide emergency medical care in high-pressure situations.
Medical Admin.,Healthcare,C,Organize medical records and insurance billing for a hospital.
Medical Assisting,Healthcare,S,Record patient vitals and assist doctors during exams.
Medicine,Healthcare,I,Diagnose complex illnesses and prescribe medical treatments.
Medicine Technology,Healthcare,R,Operate sophisticated medical imaging or testing equipment.
Midwifery,Healthcare,S,Support and assist women through the process of childbirth.
Nursing,Healthcare,S,Provide direct bedside care and monitoring for patients.
Nutrition Science,Healthcare,I,Create personalized meal plans to treat health conditions.
Pharmacy,Healthcare,I,Dispense medications and advise on their chemical effects.
Public Health,Healthcare,I,Track the spread of infectious diseases across populations.
Veterinarian,Healthcare,I,Perform surgery and medical checkups on animals.
Vet Technology,Healthcare,R,Assist veterinarians in the medical treatment of pets.
Culinary Arts,Hospitality,A,Prepare and present gourmet meals in a high-end kitchen.
Event Management,Hospitality,E,Organize the logistics for a large-scale wedding or gala.
Hospitality Mgmt.,Hospitality,E,Direct the operations and guest services of a resort.
Hotel Management,Hospitality,E,Oversee the staff and guest satisfaction of a hotel.
Tourism,Hospitality,E,Plan and lead travel experiences for international tourists.
Tourism Management,Hospitality,E,Market and manage the growth of a specific travel destination.
Anthropology,Humanities,I,Study the artifacts and customs of ancient civilizations.
Art History,Humanities,I,Research the historical context of famous paintings.
Civilization Studies,Humanities,I,Analyze the social structures of historical global societies.
Classical Studies,Humanities,I,Research the culture and philosophy of ancient Rome and Greece.
Comparative Lit.,Humanities,A,Compare the themes of books from different cultures.
English,Humanities,A,Write critical essays analyzing literature and poetry.
English Literature,Humanities,A,Read and interpret the great works of English authors.
History,Humanities,I,Research archives to write about significant past events.
Intercultural Studies,Humanities,S,Study how different cultural groups interact and communicate.
Intl. Studies,Humanities,I,Analyze global political and social issues from multiple views.
Liberal Arts,Humanities,I,Explore a wide range of subjects in the arts and sciences.
Literature,Humanities,A,Dive deep into the analysis of fictional narratives and prose.
Philosophy,Humanities,I,"Debate the nature of existence, ethics, and logic."
Religious Studies,Humanities,I,Examine the history and beliefs of various world religions.
Rhetoric,Humanities,E,Study the art of persuasive speaking and public debate.
Theology,Humanities,I,Study the systematic nature of religious faith and God.
Criminal Justice,Law,S,Work within the legal system to enforce laws and order.
Criminology,Law,I,Analyze the psychological and social causes of crime.
Government,Law,E,Participate in the legislative and policymaking process.
Intl. Relations,Law,I,Study the political interactions between different nations.
Legal Studies,Law,I,Research law cases and assist in the preparation of trials.
Paralegal Studies,Law,C,Organize legal documents and conduct case research for firms.
Political Science,Law,I,Analyze the systems and theories of political power.
Public Admin.,Law,E,Manage the implementation of government programs.
Public Policy,Law,I,Evaluate and propose new laws to solve social problems.
Agricultural Science,Life Science,I,Research ways to improve crop yields and soil health.
Biochemistry,Life Science,I,Study the chemical processes that occur within living things.
Biology,Life Science,I,Examine the structure and function of living organisms.
Biomedical Science,Life Science,I,Conduct lab research to understand the causes of disease.
Biopsychology,Life Science,I,Study the biological basis of thought and behavior.
Botany,Life Science,I,Research the classification and biology of plant species.
Cognitive Science,Life Science,I,Study the mind and how it processes information.
Ecology,Life Science,I,Study the relationship between organisms and their habitat.
Enviro Science,Life Science,I,Analyze the impact of human activity on the natural world.
Food Science,Life Science,I,Test the safety and nutritional content of new food products.
Genetics,Life Science,I,Research how traits are passed down through DNA.
Health Science,Life Science,I,Study the scientific principles behind human health.
Horticulture,Life Science,R,"Cultivate and manage gardens, parks, and greenhouses."
Marine Biology,Life Science,I,Research the life forms that live in the ocean.
Microbiology,Life Science,I,Study microscopic organisms like bacteria and viruses.
Molecular Biology,Life Science,I,Research life at the level of molecules and cells.
Neuroscience,Life Science,I,Investigate the biology and chemistry of the nervous system.
Pharmacology,Life Science,I,Research how drugs interact with biological systems.
Physiology,Life Science,I,Study how the different parts of the human body function.
Zoology,Life Science,I,Study the behavior and habitats of animal species.
Astronomy,Physical Science,I,Use telescopes to observe and study celestial bodies.
Astrophysics,Physical Science,I,Apply physics to understand the origins of the universe.
Atmospheric Science,Physical Science,I,Study the Earth's atmosphere and weather patterns.
Chemistry,Physical Science,I,Conduct experiments to see how different substances react.
Earth Science,Physical Science,I,Study the physical characteristics of the Earth.
Forensic Science,Physical Science,I,Analyze physical evidence from crime scenes in a lab.
Geology,Physical Science,I,Study the Earth's rocks and the processes that change them.
Geoscience,Physical Science,I,Use tech to map and analyze the Earth's physical features.
Industrial Tech.,Physical Science,R,Manage the technology used in industrial manufacturing.
Meteorology,Physical Science,I,Forecast the weather using data and atmospheric models.
Physics,Physical Science,I,Study the fundamental laws of matter and energy.
Radiology,Physical Science,R,Use X-rays and MRIs to look inside the human body.
Behavioral Science,Social Science,I,Observe and analyze the social patterns of human groups.
Geography,Social Science,I,Study the physical features of the Earth and human layouts.
Sociology,Social Science,I,Research the development and structure of human society.
Athletic Training,Sport,S,Help athletes prevent and recover from physical injuries.
Exercise Science,Sport,I,Study how the human body responds to physical exercise.
Exercise Physiology,Sport,I,Analyze the metabolic and cardiac effects of fitness.
Kinesiology,Sport,I,Study the mechanics of body movements.
Physical Therapy,Sport,S,Guide patients through exercises to regain mobility.
Sports Management,Sport,E,Handle the business and marketing side of a sports team.
Sports Medicine,Sport,I,Provide medical care tailored to athletes and active people.
